排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
1,肖申克的救赎,9.7,弗兰克·德拉邦特FrankDarabont,蒂姆·罗宾斯TimRobbins/,1994,美国,犯罪剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,
2,霸王别姬,9.6,陈凯歌KaigeChen,张国荣LeslieCheung/张丰毅FengyiZha,1993,中国大陆中国香港,剧情爱情同性,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,
3,阿甘正传,9.5,罗伯特·泽米吉斯RobertZemeckis,汤姆·汉克斯TomHanks/,1994,美国,剧情爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg,
4,这个杀手不太冷,9.4,吕克·贝松LucBesson,让·雷诺JeanReno/娜塔莉·波特曼,1994,法国,剧情动作犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,
5,美丽人生,9.5,罗伯托·贝尼尼RobertoBenigni,罗伯托·贝尼尼RobertoBeni,1997,意大利,剧情喜剧爱情战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,
6,泰坦尼克号,9.4,詹姆斯·卡梅隆JamesCameron,莱昂纳多·迪卡普里奥Leonardo,1997,美国,剧情爱情灾难,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,
7,千与千寻,9.4,宫崎骏HayaoMiyazaki,柊瑠美RumiHîragi/入野自由Miy,2001,日本,剧情动画奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,
8,辛德勒的名单,9.5,史蒂文·斯皮尔伯格StevenSpielberg,连姆·尼森LiamNeeson,1993,美国,剧情历史战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,
9,盗梦空间,9.3,克里斯托弗·诺兰ChristopherNolan,莱昂纳多·迪卡普里奥Le,2010,美国英国,剧情科幻悬疑冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,
10,忠犬八公的故事,9.4,莱塞·霍尔斯道姆LasseHallström,理查·基尔RichardGer,2009,美国英国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,
11,海上钢琴师,9.3,朱塞佩·托纳多雷GiuseppeTornatore,蒂姆·罗斯TimRoth/,1998,意大利,剧情音乐,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,
12,楚门的世界,9.3,彼得·威尔PeterWeir,金·凯瑞JimCarrey/劳拉·琳妮Lau,1998,美国,剧情科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,
13,三傻大闹宝莱坞,9.2,拉库马·希拉尼RajkumarHirani,阿米尔·汗AamirKhan/卡,2009,印度,剧情喜剧爱情歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,
14,机器人总动员,9.3,安德鲁·斯坦顿AndrewStanton,本·贝尔特BenBurtt/艾丽,2008,美国,科幻动画冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,
15,放牛班的春天,9.3,克里斯托夫·巴拉蒂ChristopheBarratier,热拉尔·朱尼奥Gé,2004,法国瑞士德国,剧情音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,
16,星际穿越,9.3,克里斯托弗·诺兰ChristopherNolan,马修·麦康纳MatthewMc,2014,美国英国加拿大冰岛,剧情科幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,
17,大话西游之大圣娶亲,9.2,刘镇伟JeffreyLau,周星驰StephenChow/吴孟达ManTatNg,1995,中国香港中国大陆,喜剧爱情奇幻古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,
18,熔炉,9.3,黄东赫Dong-hyukHwang,孔侑YooGong/郑有美Yu-miJung/,2011,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,
19,疯狂动物城,9.2,拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,金妮弗·,2016,美国,喜剧动画冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,
20,无间道,9.2,刘伟强/麦兆辉,刘德华/梁朝伟/黄秋生2002/中国香港/剧情犯罪悬疑,未知,未知,未知,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,
21,龙猫,9.2,未知,未知,1988,日本,动画奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,
22,教父,9.3,宫崎骏HayaoMiyazaki,日高法子NorikoHidaka/坂本千夏Ch,1972,美国,剧情犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,
23,当幸福来敲门,9.1,弗朗西斯·福特·科波拉FrancisFordCoppola,马龙·白兰度M,2006,美国,剧情传记家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,
24,怦然心动,9.1,加布里尔·穆奇诺GabrieleMuccino,威尔·史密斯WillSmith,2010,美国,剧情喜剧爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,
25,触不可及,9.2,罗伯·莱纳RobReiner,玛德琳·卡罗尔MadelineCarroll/卡,未知,未知,未知,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,
26,蝙蝠侠：黑暗骑士,9.2,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2008,美国英国,剧情动作科幻犯罪惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,
27,控方证人,9.6,比利·怀尔德BillyWilder,泰隆·鲍华TyronePower/玛琳·,1957,美国,剧情犯罪悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,
28,活着,9.2,张艺谋YimouZhang,葛优YouGe/巩俐LiGong/姜武WuJiang1994/中国大陆中国香港/剧情历史家庭,未知,未知,未知,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,
29,寻梦环游记,9.1,未知,未知,2017,美国,喜剧动画奇幻音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,
30,乱世佳人,9.3,李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina,,1939,美国,剧情历史爱情战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,
31,末代皇帝,9.2,维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor,费,1987,英国意大利中国大陆法国,剧情传记历史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,
32,摔跤吧！爸爸,9.0,贝纳尔多·贝托鲁奇BernardoBertolucci,尊龙JohnLone/陈,2016,印度,剧情传记运动家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,
